sensor_id,C1,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC_dist_2,PC_dist_3,PC_dist_5,PC_dist_7,PC_dist_10,CM_Sum,CM_Sum_Square,CM_Sum_sd,CM_Sum_Square_sd,T2_Hourly,T2_Hourly_Flag,T2_MDS,T2_MDS_Flag,T2_Growth,T2_Growth_Flag,grade_auto,grade
12884,1,555.8096686,-218.3994855,-38.54440353,26.03779825,-71.80614317,44.67587692,-25.28714491,24.75568281,-28.74107405,47.40216323,2.094219458,2.169055165,2.095664792,2.05337317,2.044646262,221.0478687,204.7256989,-0.80139102,-0.517092495,147.5746539,0,2.672531019,0,6.321608622,0,Good,Good
12890,1,307.0705855,172.8828018,-134.8537771,13.86141393,-2.547421054,9.771851528,13.0194672,-61.45782341,-43.58134236,-45.7412371,1.235790705,1.367624967,1.311631579,1.281723791,1.303986566,245.1362944,214.0326907,-0.474974975,-0.340750831,59.7394584,0,2.400751932,0,1.717647706,0,Good,Good
13343,1,260.9052331,-3.91107827,-190.47702,58.2817526,25.61893619,47.11571466,30.6826141,9.92136866,-18.12328821,-13.88049923,0.915059354,1.170975258,1.143833984,1.132878348,1.125546581,243.5195138,163.1812468,-0.496883551,-1.304244563,135.1452847,0,2.804462429,0,1.405067303,0,Good,Good
13355,1,657.8930515,-96.9065421,-182.0098206,78.13609207,13.32848271,5.87613711,-4.457160068,35.42765577,-6.48196851,20.89429146,2.332029284,2.49900033,2.410792205,2.353767875,2.336262521,156.1514566,151.8529497,-1.680785565,-1.518884353,175.4466463,0,4.490125195,0,1.767694875,0,Outlier,Outlier
13580,1,614.4089449,69.70012559,-165.2417515,1.905321558,-293.0239861,74.28785918,22.62193142,-36.86643783,4.304222397,27.62711297,2.16846242,2.319934984,2.445341577,2.401848068,2.384779862,193.7764795,157.6138746,-1.170938582,-1.409730814,227.9733102,0,9.599165162,0,2.529679979,0,Outlier,Outlier
17221,1,335.0679882,-17.57017976,-199.3196612,49.42638965,4.744338667,3.454346363,18.10325406,62.0407903,13.86892565,26.54977782,1.176648904,1.414568971,1.366636896,1.335698669,1.343479958,166.2705927,80.37660709,-1.543663761,-2.873162674,213.5676963,0,3.071178301,0,5.123694056,0,tbd,Outlier
17222,1,347.4566771,16.49559567,-62.7669844,92.07432175,-68.79071349,-50.38138542,-72.87403005,-35.80978677,52.4419951,-33.48513694,1.219852229,1.28118109,1.291152089,1.29585461,1.3063734,246.4654605,219.2265227,-0.456963787,-0.242342128,221.1072236,0,2.33204955,0,9.687626887,0,Good,Good
19767,2,-535.7904301,-57.40637487,8.284996765,-141.6181012,111.087918,47.38137215,120.4830665,-70.19549291,18.70347412,56.00533429,1.889692856,1.953386626,1.973756381,1.976350947,1.982240841,166.846792,111.7904062,-1.535855833,-2.277958365,248.5440584,0,4.433000451,0,3.140342183,0,Good,Good
19768,3,-255.9831029,2.542887128,191.8942488,8.159842429,129.6081284,1.336692312,50.34358102,-35.943448,-17.83660033,53.57081544,0.897739658,1.159638388,1.199454465,1.183406941,1.193872831,277.4244432,227.5067535,-0.037446595,-0.085454735,301.44044,1,8.119701409,0,8.985752737,0,Good,Good
19769,3,-316.910941,61.9346154,132.1670732,-105.129595,164.8683044,94.08046477,30.75427065,-116.6493016,21.75641272,69.08037669,1.132385044,1.26466031,1.389393328,1.397371308,1.459339285,274.0210684,215.6333985,-0.08356485,-0.310421859,318.9852826,1,5.403045248,0,4.914367209,0,Good,Good
